"blastomere","gini","blast"
"B1",0.504800815903891,"Blastomere A"
"B1",0.491534826711772,"Blastomere A"
"B1",0.490281449282853,"Blastomere A"
"B1",0.493063503190226,"Blastomere A"
"B1",0.511270414073348,"Blastomere A"
"B1",0.499509942042166,"Blastomere A"
"B1",0.481009370388649,"Blastomere A"
"B1",0.489681590295288,"Blastomere A"
"B1",0.492581846406027,"Blastomere A"
"B1",0.510976503231518,"Blastomere A"
"B1",0.504312588552818,"Blastomere A"
"B1",0.506756946015563,"Blastomere A"
"B1",0.507310803282968,"Blastomere A"
"B1",0.497325244492735,"Blastomere A"
"B1",0.504195103096887,"Blastomere A"
"B1",0.512124290815057,"Blastomere A"
"B1",0.490224077813258,"Blastomere A"
"B1",0.487486013188876,"Blastomere A"
"B1",0.505722246442523,"Blastomere A"
"B1",0.496943399748376,"Blastomere A"
"B1",0.49536691198742,"Blastomere A"
"B1",0.495269597749705,"Blastomere A"
"B1",0.491169795331417,"Blastomere A"
"B1",0.504402623084354,"Blastomere A"
"B1",0.500882320330088,"Blastomere A"
"B1",0.493769938342538,"Blastomere A"
"B1",0.497964342667437,"Blastomere A"
"B1",0.486093634974294,"Blastomere A"
"B1",0.495224461632581,"Blastomere A"
"B1",0.503743842483774,"Blastomere A"
"B1",0.504261934616807,"Blastomere A"
"B1",0.504859462732663,"Blastomere A"
"B1",0.49817248106143,"Blastomere A"
"B1",0.49654961944077,"Blastomere A"
"B1",0.492832680556174,"Blastomere A"
"B1",0.494928321680158,"Blastomere A"
"B1",0.497053503861004,"Blastomere A"
"B1",0.498695545036171,"Blastomere A"
"B1",0.506091377768498,"Blastomere A"
"B1",0.490859726541766,"Blastomere A"
"B1",0.503789737900741,"Blastomere A"
"B1",0.492550003922192,"Blastomere A"
"B1",0.492991596252551,"Blastomere A"
"B1",0.502464041683509,"Blastomere A"
"B1",0.498235260613587,"Blastomere A"
"B1",0.496819255816137,"Blastomere A"
"B1",0.490177815350749,"Blastomere A"
"B1",0.503687221864118,"Blastomere A"
"B1",0.50276180593246,"Blastomere A"
"B1",0.493712011341986,"Blastomere A"
"B1",0.499310772253988,"Blastomere A"
"B1",0.496795988645759,"Blastomere A"
"B1",0.501372905720154,"Blastomere A"
"B1",0.488978297373765,"Blastomere A"
"B1",0.498553708439176,"Blastomere A"
"B1",0.497168096070166,"Blastomere A"
"B1",0.502807143755683,"Blastomere A"
"B1",0.493591778384152,"Blastomere A"
"B1",0.507767949695124,"Blastomere A"
"B1",0.499545718496939,"Blastomere A"
"B1",0.503477565797856,"Blastomere A"
"B1",0.506455188120203,"Blastomere A"
"B1",0.494839317413869,"Blastomere A"
"B1",0.490751559453043,"Blastomere A"
"B1",0.505725315902732,"Blastomere A"
"B1",0.496785923532881,"Blastomere A"
"B1",0.489148019562471,"Blastomere A"
