celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Astrocytes,Myelinating Schwann cells (Tgfb2+),neither,-0.7926,-1.6130,-0.6812,-1.5737
Astrocytes,Myoblasts,neither,-1.0054,-0.9080,-0.7249,-0.7744
Astrocytes,Myofibroblasts,neither,-0.4402,-0.9056,-0.2764,-0.8794
Astrocytes,Naive retinal progenitor cells,neither,-2.2806,-2.6648,-1.5495,-2.1086
Astrocytes,Nephron progenitors,neither,-1.1801,-1.6133,-0.4289,-1.3548
Astrocytes,Neural crest (PNS glia),neither,0.1014,-0.8493,-0.1209,-0.8823
Astrocytes,Neural crest (PNS neurons),neither,-0.2197,-1.1494,-0.2404,-0.9668
Astrocytes,Neural progenitor cells (Neurod1+),neither,-1.0489,-1.7234,0.0730,-1.4348
Astrocytes,Neurons (Slc17a8+),neither,-0.1220,-0.5392,0.0125,-0.4204
Astrocytes,Olfactory bulb cells,neither,-0.3196,-1.8777,-1.6901,-2.4724
Astrocytes,Olfactory epithelial cells,neither,-1.6518,-2.1385,-1.7956,-2.1272
Astrocytes,Olfactory sensory neurons,neither,-1.8425,-2.3961,-1.7134,-2.4879
Astrocytes,Otic epithelial cells,neither,-1.6366,-1.7163,-0.4225,-1.4728
Astrocytes,Otic sensory neurons,neither,-1.0095,-1.4004,-0.0780,-1.1462
Astrocytes,Pancreatic acinar cells,neither,-1.3318,-1.2542,-0.2739,-1.1343
Astrocytes,Parasympathetic neurons,neither,-0.1192,-1.1841,-1.5551,-1.3202
Astrocytes,Posterior roof plate,neither,0.7926,0.2537,1.5264,0.3549
Astrocytes,Pre-epidermal keratinocytes,neither,-1.0905,-1.1526,-0.9429,-1.0272
Astrocytes,Pre-osteoblasts (Sp7+),neither,-0.2898,-1.2681,-0.1469,-1.0054
Astrocytes,Primitive erythroid cells,neither,-1.3267,-0.9229,-0.0553,-0.6400
Astrocytes,Retinal ganglion cells,neither,-1.6165,-2.0743,-1.1003,-1.8844
Astrocytes,Retinal pigment cells,neither,-1.1291,-1.5934,0.1433,-0.8389
Astrocytes,Retinal progenitor cells,neither,-1.6687,-1.8558,-3.0994,-1.4713
Astrocytes,Sclerotome,neither,-0.6706,-0.7396,-0.5233,-0.6536
Astrocytes,Spinal cord dorsal progenitors,K15_only,1.0189,-0.3546,1.0079,-0.3111
Astrocytes,Spinal cord motor neurons,K15_only,2.3963,0.0990,2.4371,0.1220
Astrocytes,Spinal cord ventral progenitors,K15_only,1.7493,0.1401,1.5096,-0.0394
Astrocytes,Spinal cord/r7/r8,K15_only,1.1580,-0.5091,1.3275,-0.4488
Astrocytes,Sympathetic neurons,neither,-0.1332,-1.0186,0.0103,-1.0148
Astrocytes,Telencephalon,neither,-1.5827,-0.8042,-1.4230,-0.6779
