"blastomere","rank","size","blast"
"B1",712,138,"Blastomere A"
"B1",713,138,"Blastomere A"
"B1",714,138,"Blastomere A"
"B1",715,137,"Blastomere A"
"B1",716,137,"Blastomere A"
"B1",717,137,"Blastomere A"
"B1",718,136,"Blastomere A"
"B1",719,136,"Blastomere A"
"B1",720,135,"Blastomere A"
"B1",721,135,"Blastomere A"
"B1",722,135,"Blastomere A"
"B1",723,135,"Blastomere A"
"B1",724,135,"Blastomere A"
"B1",725,134,"Blastomere A"
"B1",726,134,"Blastomere A"
"B1",727,133,"Blastomere A"
"B1",728,133,"Blastomere A"
"B1",729,132,"Blastomere A"
"B1",730,132,"Blastomere A"
"B1",731,132,"Blastomere A"
"B1",732,131,"Blastomere A"
"B1",733,131,"Blastomere A"
"B1",734,131,"Blastomere A"
"B1",735,130,"Blastomere A"
"B1",736,130,"Blastomere A"
"B1",737,129,"Blastomere A"
"B1",738,129,"Blastomere A"
"B1",739,129,"Blastomere A"
"B1",740,128,"Blastomere A"
"B1",741,128,"Blastomere A"
"B1",742,128,"Blastomere A"
"B1",743,127,"Blastomere A"
"B1",744,127,"Blastomere A"
"B1",745,126,"Blastomere A"
"B1",746,126,"Blastomere A"
"B1",747,126,"Blastomere A"
"B1",748,126,"Blastomere A"
"B1",749,126,"Blastomere A"
"B1",750,126,"Blastomere A"
"B1",751,125,"Blastomere A"
"B1",752,125,"Blastomere A"
"B1",753,125,"Blastomere A"
"B1",754,125,"Blastomere A"
"B1",755,124,"Blastomere A"
"B1",756,124,"Blastomere A"
"B1",757,124,"Blastomere A"
"B1",758,123,"Blastomere A"
"B1",759,123,"Blastomere A"
"B1",760,123,"Blastomere A"
"B1",761,122,"Blastomere A"
"B1",762,122,"Blastomere A"
"B1",763,122,"Blastomere A"
"B1",764,122,"Blastomere A"
"B1",765,121,"Blastomere A"
"B1",766,120,"Blastomere A"
"B1",767,119,"Blastomere A"
"B1",768,119,"Blastomere A"
"B1",769,118,"Blastomere A"
"B1",770,118,"Blastomere A"
"B1",771,118,"Blastomere A"
