"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f561","B_cells",NA,0,130,66,"B2"
"f562","B_cells",NA,0,130,11,"B2"
"f563","B_cells",NA,0,130,11,"B2"
"f564","B_cells",NA,0,130,11,"B2"
"f565","B_cells",NA,0,130,33,"B2"
"f566","B_cells",NA,0,130,230,"B2"
"f567","B_cells",NA,0,130,64,"B1"
"f568","B_cells",NA,0,130,53,"B1"
"f569","B_cells",NA,0,130,94,"B1"
"f570","B_cells",NA,0,130,31,"B1"
"f571","B_cells",NA,0,130,30,"B2"
"f572","B_cells",NA,0,130,40,"B1"
"f573","B_cells",NA,0,130,80,"B1"
"f574","B_cells",NA,0,130,481,"B2"
"f575","B_cells",NA,0,130,49,"B1"
"f576","B_cells",NA,0,130,97,"B1"
"f577","B_cells",NA,0,130,96,"B1"
"f578","B_cells",NA,0,130,278,"B2"
"f579","B_cells",NA,0,130,134,"B1"
"f580","B_cells",NA,0,130,564,"B2"
"f581","B_cells",NA,0,130,338,"B1"
"f582","B_cells",NA,0,130,433,"B1"
"f583","B_cells",NA,0,130,147,"B2"
"f584","B_cells",NA,0,130,439,"B1"
"f585","B_cells",NA,0,130,91,"B1"
"f586","B_cells",NA,0,130,54,"B2"
"f587","B_cells",NA,0,130,89,"B1"
"f588","B_cells",NA,0,130,757,"B1"
"f589","B_cells",NA,0,130,44,"B2"
"f590","B_cells",NA,0,130,122,"B1"
"f591","B_cells",NA,0,130,112,"B2"
"f592","B_cells",NA,0,130,51,"B2"
"f593","B_cells",NA,0,130,17,"B1"
"f594","B_cells",NA,0,130,42,"B1"
"f595","B_cells",NA,0,130,209,"B2"
"f596","B_cells",NA,0,130,191,"B2"
"f597","B_cells",NA,0,130,33,"B1"
"f598","B_cells",NA,0,130,123,"B2"
"f599","B_cells",NA,0,130,90,"B2"
